	Compounds	WT_14w	WT_22w	C_14w	C_22w	B_14w	B_22w	W_14w	W_22w	P_14w	P_22w	HMDB	kegg_map
75	FFA(14:0)	9.81543558360233	10.1932426001154	10.1009467618085	10.4406124842682	10.1173801413426	10.3907048279155	10.5729860335418	10.2598934350487	10.4129312869494	10.6053696476502	HMDB0000806	ko00061,ko01100
76	Folic-acid	12.1440925649915	12.4387590769336	12.250237739089	8.62358006515321	14.0776855805937	14.8118792742007	13.8591128444018	14.2573043823695	13.5263296639877	13.2051937941696	HMDB0000121	ko00670,ko00790,ko01100,ko01240,ko01523,ko04976,ko04977
77	Fumaric Acid	12.1506355115518	12.652345938852	12.5948322653285	12.4531888097084	13.356068943402	12.9878880567808	13.1760964771802	13.1541603291776	13.1404233246839	13.1526808980342	HMDB0000134	ko00020,ko00190,ko00220,ko00250,ko00350,ko00360,ko00620,ko00650,ko00760,ko01100,ko01200,ko04922,ko05200,ko05211,ko05230
78	Guanosine	16.2799394102574	14.8958460164281	16.1858482427427	15.3767162195843	16.2886645113137	15.6273936737785	14.7584693181684	15.4162127656981	14.9356200395909	16.1293427596082	HMDB0000133	ko00230,ko01100,ko01232,ko02010
79	Hydrocinnamic Acid	11.1686732404965	11.8291138687012	10.730572317476	11.2959211714022	12.5115216248707	13.1501884298507	12.9224741104493	12.6747819060222	11.8925269354048	12.9656218558495	HMDB0000764	ko00360,ko01100
80	Hypoxanthine	13.5426071231338	13.1602321064879	12.7460502892721	13.3981032761991	13.5489236862639	13.7749434961195	13.9661576368515	13.7249361014466	13.7130321723002	14.1051368460097	HMDB0000157	ko00230,ko01100,ko01232
81	Indole	16.2413538133101	16.3143346164845	16.0734583314853	16.061491594643	16.3207736650915	16.530818198007	15.9176867350353	16.0959569104904	16.1564848275663	16.0923492835837	HMDB0000738	ko00380,ko00400,ko01100,ko04974
82	Indole-3-lactic acid	17.5499284023802	17.636025329385	17.2741970928509	17.4320003997383	18.1759327619291	17.9361267348483	17.7368180382621	17.7291585656009	17.4433958978986	17.6534345609561	HMDB0000671	-
83	Indoleacetaldehyde	14.3290926337902	14.8766298767832	14.2808764934656	14.4683362538737	13.2797302338395	13.839286174181	12.993701719917	13.3393423815957	13.6475464477118	13.4638058572534	HMDB0001190	ko00380,ko01100
84	Inosine	16.2670714376987	13.7406290341999	15.8731828117961	14.9379189852438	16.7231030334731	15.3815986423531	14.2656886078738	15.2217072698232	14.6772447464137	16.2636677591732	HMDB0000195	ko00230,ko01100,ko01232,ko02010
85	L-Alanine	16.5698729892667	16.4397435827387	16.3665887792092	16.7316533333811	16.592324758622	16.7319215379107	16.6570631251723	16.472008109479	16.8883901542213	16.8552554490335	HMDB0000161	ko00250,ko00270,ko00430,ko00450,ko00470,ko00970,ko01100,ko01200,ko01230,ko02010,ko04122,ko04974,ko04978,ko05230
86	L-Asparagine Anhydrous	13.1536410287957	13.4351000380598	12.8221949526732	12.6671614572219	12.9635768267336	13.1096377132637	12.4564647579487	12.5347462196806	12.6693511688123	12.2705325087162	HMDB0000168	ko00250,ko00970,ko01100,ko01230,ko04974,ko04978,ko05230
87	L-Aspartic Acid	15.9821944413487	16.8207425672005	16.2287777673045	16.4643462698258	17.2694149653023	17.0965884475331	17.1560663630467	16.7085650570522	17.3958089587088	17.0429349982451	HMDB0000191	ko00220,ko00250,ko00260,ko00261,ko00270,ko00300,ko00340,ko00410,ko00470,ko00760,ko00770,ko00970,ko01100,ko01200,ko01210,ko01230,ko01240,ko02010,ko04080,ko04974,ko05230
88	L-Cystine	12.4586190372305	12.9774774240397	11.9618067035715	12.5353858038019	12.5524332800415	12.7056982873932	12.5240690243849	12.5122987419196	12.7817755082751	12.3772282856263	HMDB0000192	ko00270,ko01100,ko02010,ko04216,ko04974
89	L-Glutamic Acid	14.0103216116122	14.4359299359722	14.0791740200122	14.6655472376244	14.3614608231744	14.5699964625173	14.4908384424794	14.3548314781098	14.8463890766664	14.6794344257486	HMDB0000148	ko00220,ko00250,ko00330,ko00340,ko00430,ko00470,ko00480,ko00524,ko00630,ko00650,ko00660,ko00860,ko00910,ko00970,ko01100,ko01200,ko01210,ko01230,ko01240,ko02010,ko04068,ko04072,ko04080,ko04216,ko04540,ko04713,ko04720,ko04721,ko04723,ko04724,ko04727,ko04730,ko04742,ko04964,ko04974,ko05014,ko05016,ko05017,ko05022,ko05030,ko05031,ko05033,ko05034,ko05230
90	L-Histidine	16.0672253933691	16.4266539646673	16.1938770562897	16.3483059986208	16.5866680114131	17.129397124793	16.4365722376538	16.5067060756486	16.6911526396622	16.1573656700421	HMDB0000177	ko00340,ko00410,ko00470,ko00970,ko01100,ko01230,ko02010,ko04974,ko05230
91	L-Methionine sulfoxide	13.6435437295576	13.740376987412	13.3956551363406	13.7002795811425	14.1616801742745	14.5964235999113	13.6427183633164	13.5918945676834	13.5128704535245	13.4231699777549	HMDB0002005	-
92	L-Phenylalanine	18.057221140234	18.145448291621	17.9383994490706	18.0653945994922	17.9578472143599	18.2350171774243	17.7456199952121	17.8885070075872	17.9685570702942	18.0431161346666	HMDB0000159	ko00360,ko00400,ko00470,ko00970,ko01100,ko01210,ko01230,ko02010,ko04974,ko04978,ko05230
93	L-Saccharopine	14.5699877489962	14.6586316899053	14.4843859409606	14.5172547640851	14.9951625178389	15.0476167460782	15.0212703982786	14.9749461523796	15.2044124429448	14.7879715099051	HMDB0000279	ko00300,ko00310,ko01100,ko01230
94	L-Serine	15.1600562073178	15.3861445086918	15.1101545668542	15.483598289076	15.5675722329758	15.6362828399408	14.8945700148307	14.9158520267609	15.1697279942632	15.0145144383804	HMDB0000187	ko00260,ko00261,ko00270,ko00470,ko00564,ko00600,ko00630,ko00920,ko00970,ko01100,ko01200,ko01230,ko01240,ko02010,ko04071,ko04974,ko04978,ko05230
95	L-threo-3-Methylaspartate	14.0103216116122	14.4359299359722	14.0791740200122	14.6655472376244	14.3614608231744	14.5699964625173	14.4908384424794	14.3548314781098	14.8463890766664	14.6794344257486	-	ko00630,ko00660,ko01100,ko01200
96	L-Thyroxine	12.9880541857331	12.9153555108689	13.2914867259166	13.1318604158721	13.2685429494666	13.0439354314788	12.7866301764148	12.9428686358396	12.6812250764055	13.0655076845138	HMDB0000248	ko00350,ko01100,ko04080,ko04918,ko04919,ko04976,ko05320
97	L-Tryptophan	12.0201034086671	12.663446787831	11.8380268029129	11.8158612225147	12.8658989421207	13.6247474921737	12.1115705875595	12.7101909204405	12.2501012617674	12.3351710448709	HMDB0000929	ko00260,ko00380,ko00400,ko00970,ko01100,ko01210,ko01230,ko01240,ko04361,ko04726,ko04974,ko04978,ko05143,ko05230
98	Maleic Acid	12.1506355115518	12.652345938852	12.5948322653285	12.4531888097084	13.356068943402	12.9878880567808	13.1760964771802	13.1541603291776	13.1404233246839	13.1526808980342	HMDB0000176	ko00350,ko00650,ko00760,ko01100
99	Malonicacid	13.0992725379905	12.7645871009269	13.038001356327	13.2170982716379	13.5656454750927	12.8752440748962	13.0202376264512	13.1112256763002	13.8455908048478	13.4383619618301	HMDB0000691	ko00061,ko00240,ko00410,ko01100,ko01212
100	Met-Met	13.2401607826035	13.0305906384715	12.4764388229709	12.6072195907807	12.7713935073068	13.5986732235724	12.3543853811744	12.2577133649366	12.1744820994682	12.732462589355	-	-
101	Methylamine	13.872880509359	13.6410828546361	13.7546315026324	13.653154568175	13.7779801388888	13.7434335847646	13.7936904464621	13.6843662376059	13.847557525597	13.6725948744607	HMDB0000164	ko01100,ko01200
102	Myoinositol	14.8518203470141	14.793226175048	14.7166448238378	14.6085651894347	14.9002174312272	14.9075760242856	14.9468459881971	14.952413315405	15.0406839001781	14.7174335884825	HMDB0000211	ko00052,ko00053,ko00562,ko01100,ko01250,ko02010,ko04070
